strain	husb	husb_group	animal_type	sample_type	genus	CRE	ESBL	MAR	MAR_profile	AUG	AMP	AZI	FAZ	FEP	FOT	FOX	POD	TAZ	AXO	CEP	CHL	CIP	GEN	IMP	MEM	NAL	TZP	STR	SUL	FTC	CCV	TET	SXT
Res13-Lact-LEB1-11-b	AF1	AF1-1	sow	manure	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	S	R
Res13-Lact-PEB01-20	AF1	AF1-1	suckler	feces	Escherichia coli	No	Yes	10	AmpFazFotPodTazAxoCepSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	R	R
Res13-Lact-EB12-33	AF1	AF1-2	sow	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	NI	S	R
Res13-Lact-EB12-5	AF1	AF1-2	sow	feces	Escherichia coli	No	Yes	10	AmpFazFotPodTazAxoCepSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	NI	R	R
Res13-Lact-EB13-22	AF1	AF1-2	sow	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	NI	S	R
Res13-Lact-EB13-15	AF1	AF1-2	sow	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	NI	S	R
Res13-Lact-PEB08-33	AF1	AF1-2	suckler	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	S	R
Res13-Lact-PEB08-1	AF1	AF1-2	suckler	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	S	R
Res13-Lact-PEB09-33	AF1	AF1-2	suckler	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	S	R
Res13-Lact-PEB09-34	AF1	AF1-2	suckler	feces	Escherichia coli	No	Yes	11	AmpFazFotPodTazAxoCepStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	S	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-PEB13-33	AF1	AF1-2	suckler	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	NI	S	R
Res13-Lact-PEB13-34	AF1	AF1-2	suckler	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	NI	S	R
Res13-Lact-PEB14-36	AF1	AF1-2	suckler	feces	Escherichia coli	No	Yes	10	AmpFazFotPodTazAxoCepSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	R	R
Res13-Lact-EB15-9	AF1	AF1-3	sow	feces	Escherichia coli	No	Yes	11	AmpFazFotFoxPodTazAxoCepSulTetSxt	S	R	S	R	SD	R	R	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	NI	R	R
Res13-Lact-LEB3-9	AF1	AF1-3	sow	manure	Escherichia coli	No	Yes	10	AmpFazFotPodTazAxoCepSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	R	R
Res13-Lact-LEB3-2	AF1	AF1-3	sow	manure	Escherichia coli	No	No	12	AugAmpFazFotFoxPodTazAxoCepStrSulSxt	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	S	R	R	NI	NI	S	R
Res13-Lact-LEB3-27	AF1	AF1-3	sow	manure	Escherichia coli	No	No	12	AugAmpFazFotFoxPodTazAxoCepStrSulSxt	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	I	R	R	NI	NI	S	R
Res13-Lact-LEB3-12	AF1	AF1-3	sow	manure	Escherichia coli	No	No	12	AugAmpFazFotFoxPodTazAxoCepStrSulSxt	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	S	R	R	NI	NI	S	R
Res13-Lact-LEB3-20	AF1	AF1-3	sow	manure	Escherichia coli	No	No	12	AugAmpFazFotFoxPodTazAxoCepStrSulSxt	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	S	R	R	NI	NI	S	R
Res13-Lact-LEB3-37	AF1	AF1-3	sow	manure	Escherichia fergusonii	No	No	6	AmpFazFotPodAxoCep	S	R	S	R	S	R	S	R	S	R	R	S	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Lact-PEB17-17	AF1	AF1-3	suckler	feces	Escherichia fergusonii	No	Yes	7	AmpFazFotPodTazAxoCep	S	R	S	R	S	R	S	R	R	R	R	S	S	S	S	S	S	S	S	S	ESBL	ESBL	S	S
Res13-Lact-PEB17-18	AF1	AF1-3	suckler	feces	Escherichia coli	No	No	12	AugAmpFazFotFoxPodTazAxoCepStrSulSxt	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	S	R	R	NI	NI	S	R
Res13-Lact-PEB17-37	AF1	AF1-3	suckler	feces	Escherichia fergusonii	No	No	6	AmpFazFotPodAxoCep	S	R	S	R	SD	R	S	R	S	R	R	S	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Lact-PEB17-36	AF1	AF1-3	suckler	feces	Escherichia coli	No	No	4	AmpStrSulSxt	S	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	R	R	NI	NI	S	R
Res13-Lact-PEB18-16	AF1	AF1-3	suckler	feces	Escherichia coli	No	No	12	AugAmpFazFotFoxPodTazAxoCepStrSulSxt	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	S	R	R	NI	NI	S	R
Res13-Lact-PEB20-37	AF1	AF1-3	suckler	feces	Escherichia fergusonii	No	Yes	6	AmpFazFotPodAxoCep	S	R	S	R	S	R	S	R	S	R	R	S	S	S	S	S	S	S	S	S	ESBL	ESBL	S	S
Res13-Lact-PEB21-38	AF1	AF1-3	suckler	feces	Escherichia fergusonii	No	Yes	6	AmpFazFotPodAxoCep	S	R	S	R	SD	R	S	R	S	R	R	S	S	S	S	S	S	S	S	S	ESBL	ESBL	S	S
Res13-Sevr-PEB21-01	AF1	AF1-3	weaner	feces	Escherichia coli	No	Yes	7	AmpFazFotPodTazAxoCep	S	R	S	R	S	R	S	R	R	R	R	S	S	S	S	S	S	S	S	S	ESBL	ESBL	S	S
Res13-Lact-ER01-35	AF2	AF2-1	sow	feces	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	S	R
Res13-Lact-ER02-33	AF2	AF2-1	sow	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-ER02-39	AF2	AF2-1	sow	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-ER07-18	AF2	AF2-1	sow	feces	Escherichia coli	No	Yes	10	AmpFazFotPodTazAxoCepNalSulSxt	S	R	S	R	SD	R	S	R	R	R	R	S	S	S	S	S	R	S	S	R	ESBL	NI	S	R
Res13-Lact-ER07-19	AF2	AF2-1	sow	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	NI	R	R
Res13-Lact-ER07-27	AF2	AF2-1	sow	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	NI	R	R
Res13-Lact-ER07-29	AF2	AF2-1	sow	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-ER07-9	AF2	AF2-1	sow	feces	Escherichia coli	No	No	12	AugAmpFazFotFoxPodTazAxoCepStrSulTet	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	S	R	R	NI	NI	R	S
Res13-Lact-ER07-10	AF2	AF2-1	sow	feces	Escherichia coli	No	No	12	AugAmpFazFotFoxPodTazAxoCepStrSulTet	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	S	R	R	NI	NI	R	S
Res13-Lact-ER07-26	AF2	AF2-1	sow	feces	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
Res13-Lact-LER1-03	AF2	AF2-1	sow	manure	Escherichia coli	No	Yes	9	AmpFazFotPodTazAxoCepSulSxt	I	R	S	R	S	R	S	R	R	R	R	S	S	S	S	S	S	S	S	R	ESBL	ESBL	S	R
Res13-Lact-LER1-21	AF2	AF2-1	sow	manure	Escherichia coli	No	Yes	12	AmpFazFotPodTazAxoCepGenStrSulTetSxt	S	R	S	R	S	R	S	R	R	R	R	S	S	R	S	S	S	S	R	R	ESBL	ESBL	R	R
