strain,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Abat-PEA15-P4-01,AF3,AF3-3,carcass,swab,Enterobacter cloacae,,,12,AugAmpFazFotFoxPodTazAxoCepTzpSulSxt,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
Res13-Abat-EA3-S5-02,AF3,AF3-3,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEA16-P5-01,AF3,AF3-3,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEA20-P5-02,AF3,AF3-3,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEA21-P1-01,AF3,AF3-3,carcass,swab,Enterobacter cloacae,No,No,9,AugAmpFazFotFoxPodTazAxoCep,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Res13-Abat-PEA21-P1-02,AF3,AF3-3,carcass,swab,Enterobacter cloacae,No,No,9,AugAmpFazFotFoxPodTazAxoCep,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Res13-Abat-PEA21-P4-01,AF3,AF3-3,carcass,swab,Acinetobacter,No,No,4,AugFazCepChl,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Res13-Abat-PEA24-P1-01,AF3,AF3-4,carcass,swab,Enterobacter cloacae,No,No,10,AugAmpFazFotFoxPodTazAxoCepStr,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Res13-Abat-PEA24-P1-02,AF3,AF3-4,carcass,swab,Enterobacter cloacae,No,No,10,AugAmpFazFotFoxPodTazAxoCepStr,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Res13-Abat-PEA24-P4-01,AF3,AF3-4,carcass,swab,Enterobacter cloacae,No,No,9,AugAmpFazFotFoxPodTazAxoCep,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Res13-Abat-PEA24-P4-02,AF3,AF3-4,carcass,swab,Enterobacter cloacae,No,No,9,AugAmpFazFotFoxPodTazAxoCep,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Res13-Abat-PEA24-P5-01-A,AF3,AF3-4,carcass,swab,Enterobacter cloacae,,,10,AugAmpFazFotFoxPodTazAxoCepTzp,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Res13-Abat-PEA24-P5-01-B,AF3,AF3-4,carcass,swab,Burkholderia cepacia,,,8,AugFazTazCepChlGenImpStr,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0
Res13-Abat-PEA25-P4-01,AF3,AF3-4,carcass,swab,Acinetobacter,No,No,9,AugFazFepFotTazAxoCepChlTzp,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Res13-Abat-PEA25-P4-02,AF3,AF3-4,carcass,swab,Escherichia coli 1,No,No,13,AugAmpFazFepFotFoxPodTazAxoCepChlTzpStr,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
