strain,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Lact-LEB1-11-b,AF1,AF1-1,sow,manure,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
Res13-Lact-PEB01-20,AF1,AF1-1,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Res13-Lact-EB12-33,AF1,AF1-2,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Res13-Lact-EB12-05,AF1,AF1-2,sow,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
Res13-Lact-EB13-22,AF1,AF1-2,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Res13-Lact-EB13-15,AF1,AF1-2,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Res13-Lact-PEB08-33,AF1,AF1-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
Res13-Lact-PEB08-01,AF1,AF1-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
Res13-Lact-PEB09-33,AF1,AF1-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
Res13-Lact-PEB09-34,AF1,AF1-2,suckler,feces,Escherichia coli,No,Yes,11,AmpFazFotPodTazAxoCepStrSulTetSxt,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
