determinant,CARD appelation,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT,gene_drug_class
,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC3_VIa,AAC(3)-VIa,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA,,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA12,AadA12,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA13,aadA13,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA17,aadA17,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA2,aadA2,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA22,aadA22,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA25,aadA25,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA5,aadA5,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
aadA9,aadA9,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
abeM,abeM,,,,,,,,,,,,,1,,,,1,,,,,,1,,"tetracycline, glycylcycline, fluoroquinolone, acridine dye, triclosan"
abeS,abeS,,,1,,,,,,,,,1,,1,,,,,1,,,,1,,"phenicol, aminoglycoside, macrolide, aminocoumarin, tetracycline "
Acib_AbaF,Acinetobacter baumannii AbaF,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,"tetracycline, diaminopyrimidine, oxazolidinone, benzalkonium chloride, nitroimidazole, peptide, cephalosporin, rifamycin, penam, fluoroquinolone, phenicol, glycylcycline, acridine dye, macrolide, nucleoside, bicyclomycin, fosfomycin, antibacterial free fatty acids, isoniazid, lincosamide, rhodamine"
Acib_AbaQ,Acinetobacter baumannii AbaQ,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,"tetracycline, rhodamine, benzalkonium chloride, acridine dye, bicyclomycin, nucleoside, penam, lincosamide, isoniazid, fluoroquinolone, nitroimidazole, peptide, antibacterial free fatty acids, phenicol, diaminopyrimidine, cephalosporin, macrolide, rifamycin, fosfomycin, oxazolidinone, glycylcycline"
Acib_AmvA,Acinetobacter baumannii AmvA,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,"tetracycline, glycylcycline, acridine dye, antibacterial free fatty acids, bicyclomycin, nitroimidazole, rhodamine, lincosamide, macrolide, diaminopyrimidine, oxazolidinone, peptide, fosfomycin, penam, benzalkonium chloride, isoniazid, fluoroquinolone, phenicol, rifamycin, nucleoside, cephalosporin"
acrD,acrD,,,,,,,,,,,,,,1,,,,,1,,,,,,aminoglycoside
AcrS,AcrS,1,1,,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,,,1,,"tetracycline, glycylcycline, rifamycin, phenicol, fluoroquinolone, penam, cephamycin, cephalosporin, triclosan"
ACT_10,ACT-10,1,1,,1,1,1,1,1,1,1,1,,,,1,1,,1,,,1,1,,,"cephalosporin, cephamycin, penam, carbapenem"
