strain	molecule	species	E_coli_serotype	GeneSeekr_Profile	MLST_Result	rMLST_Result	clermont_phylogroup	sample_type	farm	husbandry	animal_group	animal_type	animal_n	AAC3_VIa	ANT3_IIa	aadA	aadA12	aadA13	aadA2	aadA22	aadA5	aadA9	APH3_Ib	APH3_Ia	APH6_Id	CMY_2	CMY_21	CMY_36	CTX_M_1	CTX_M_15	IMP_7	TEM_1	TEM_81	Ecoli_ampC_bl	catI	lnuG	mphA	Salm_cmlA	cmlA8	floR	mdtM	MdtNOP	mefB	tetB	tetD	tetR	eptA	QnrS1	qacH	SAT_2	sul1	sul2	sul3	tetWNW	dfrA1	dfrA12	dfrA15b	dfrA23	dfrA30	dfrA32	dfrA7
Res13-Lact-EA26-10	plasmid_973	Escherichia coli	O21 (99.92):H21 (98.64)	uidA	56	14734	B1	feces	K	AF3	AF3-4	sow	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-EA26-10	plasmid_476	Escherichia coli	O21 (99.92):H21 (98.64)	uidA	56	14734	B1	feces	K	AF3	AF3-4	sow	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Res13-Lact-EA26-10	plasmid_1068	Escherichia coli	O21 (99.92):H21 (98.64)	uidA	56	14734	B1	feces	K	AF3	AF3-4	sow	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Fini-PEB03-41-A	plasmid_476	Escherichia coli	O86 (100.0):H-untypeable	uidA	101	1589	B1	feces	C	AF1	AF1-1	finisher	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Res13-Fini-PEB03-41-A	plasmid_973	Escherichia coli	O86 (100.0):H-untypeable	uidA	101	1589	B1	feces	C	AF1	AF1-1	finisher	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-EB04-01	plasmid_476	Escherichia coli	O86 (100.0):H-untypeable	uidA	101	1589	B1	feces	A	AF1	AF1-1	sow	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Res13-Lact-EB04-01	plasmid_973	Escherichia coli	O86 (100.0):H-untypeable	uidA	101	1589	B1	feces	A	AF1	AF1-1	sow	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB13-33	plasmid_539	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB13-33	plasmid_1009	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB13-33	plasmid_476	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Res13-Lact-PEB13-33	plasmid_23	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB13-33	plasmid_32	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA10-41	plasmid_29	Escherichia coli	O-untypeable:H16 (99.87)	eae;uidA	603	34987	B1	feces	K	AF3	AF3-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA10-41	plasmid_novel_0	Escherichia coli	O-untypeable:H16 (99.87)	eae;uidA	603	34987	B1	feces	K	AF3	AF3-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA10-41	plasmid_476	Escherichia coli	O-untypeable:H16 (99.87)	eae;uidA	603	34987	B1	feces	K	AF3	AF3-2	suckler	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Res13-Lact-PEA10-41	plasmid_1561	Escherichia coli	O-untypeable:H16 (99.87)	eae;uidA	603	34987	B1	feces	K	AF3	AF3-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA10-41	plasmid_553	Escherichia coli	O-untypeable:H16 (99.87)	eae;uidA	603	34987	B1	feces	K	AF3	AF3-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA10-41	plasmid_529	Escherichia coli	O-untypeable:H16 (99.87)	eae;uidA	603	34987	B1	feces	K	AF3	AF3-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-ER01-35	plasmid_476	Escherichia coli	O152 (99.91):H23 (98.3)	uidA	939	2075	A	feces	E	AF2	AF2-1	sow	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Res13-Lact-ER01-35	plasmid_1009	Escherichia coli	O152 (99.91):H23 (98.3)	uidA	939	2075	A	feces	E	AF2	AF2-1	sow	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Sevr-LER2-34	plasmid_360	Providencia rettgeri	ND	ND	new	new		manure	H	AF2	AF2-2	weaner		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Res13-Sevr-LER2-34	plasmid_novel_0	Providencia rettgeri	ND	ND	new	new		manure	H	AF2	AF2-2	weaner		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Sevr-LER2-34	plasmid_novel_1	Providencia rettgeri	ND	ND	new	new		manure	H	AF2	AF2-2	weaner		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB09-33	plasmid_23	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB09-33	plasmid_32	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB09-33	plasmid_539	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB09-33	plasmid_1009	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEB09-33	plasmid_476	Escherichia coli	O82 (99.84):H31 (100.0)	uidA	1252	33431	B1	feces	B	AF1	AF1-2	suckler	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Res13-Lact-PEA23-13	plasmid_471	Escherichia coli	O8 (99.75):H30 (99.94)	uidA	58	30340	B1	feces	K	AF3	AF3-4	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA23-13	plasmid_23	Escherichia coli	O8 (99.75):H30 (99.94)	uidA	58	30340	B1	feces	K	AF3	AF3-4	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA23-13	plasmid_2395	Escherichia coli	O8 (99.75):H30 (99.94)	uidA	58	30340	B1	feces	K	AF3	AF3-4	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA23-13	plasmid_973	Escherichia coli	O8 (99.75):H30 (99.94)	uidA	58	30340	B1	feces	K	AF3	AF3-4	suckler	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA23-13	plasmid_476	Escherichia coli	O8 (99.75):H30 (99.94)	uidA	58	30340	B1	feces	K	AF3	AF3-4	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Res13-Lact-PEA23-13	plasmid_novel_0	Escherichia coli	O8 (99.75):H30 (99.94)	uidA	58	30340	B1	feces	K	AF3	AF3-4	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-PEA23-13	plasmid_46	Escherichia coli	O8 (99.75):H30 (99.94)	uidA	58	30340	B1	feces	K	AF3	AF3-4	suckler	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-ER07-29	plasmid_476	Escherichia coli	O-untypeable:H4 (100.0)	uidA	761	new	A	feces	E	AF2	AF2-1	sow	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
Res13-Lact-ER07-29	plasmid_1068	Escherichia coli	O-untypeable:H4 (100.0)	uidA	761	new	A	feces	E	AF2	AF2-1	sow	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-ER07-29	plasmid_novel_1	Escherichia coli	O-untypeable:H4 (100.0)	uidA	761	new	A	feces	E	AF2	AF2-1	sow	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Res13-Lact-ER07-29	plasmid_34	Escherichia coli	O-untypeable:H4 (100.0)	uidA	761	new	A	feces	E	AF2	AF2-1	sow	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
